id,conversation_id,created_at,date,time,user_id,tweet,language,hashtags,reply_to,translated_text,tokenized_text
1634648833761374208,1634648833761374208,2023-03-12 04:13:46 Malay Peninsula Standard Time,2023-03-12,04:13:46,737360787266670592,ChatGPTにChatGPTのことを聞いてみた  #ChatGPT #ChatGPT千本ノック  https://t.co/rFuJHvLAav,ja,"['chatgpt', 'chatgpt千本ノック']",[],I asked ChatGPT about ChatGPT #ChatGPT #ChatGPT千本ノック https://t.co/rFuJHvLAav,"['I', 'asked', 'ChatGPT', 'about', 'ChatGPT', '#ChatGPT', '#ChatGPT千本ノック', 'https://t.co/rFuJHvLAav']"
1634648718539358208,1634648718539358208,2023-03-12 04:13:19 Malay Peninsula Standard Time,2023-03-12,04:13:19,1610190422470529025,"@YogiD15 and colleagues “So what if #ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational #AI for research, practice and policy @ElsevierConnect @OpenAI #artificialintelligence  https://t.co/5gA9YebGUp",en,"['chatgpt', 'ai', 'artificialintelligence']",[],"@YogiD15 and colleagues “So what if #ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational #AI for research, practice and policy @ElsevierConnect @OpenAI #artificialintelligence  https://t.co/5gA9YebGUp","['and', 'colleagues', '“', 'So', 'what', 'if', '#ChatGPT', 'wrote', 'it', '?', '”', 'Multidisciplinary', 'perspectives', 'on', 'opportunities', ',', 'challenges', 'and', 'implications', 'of', 'generative', 'conversational', '#AI', 'for', 'research', ',', 'practice', 'and', 'policy', '#artificialintelligence', 'https://t.co/5gA9YebGUp']"
1634648545226522624,1634648545226522624,2023-03-12 04:12:38 Malay Peninsula Standard Time,2023-03-12,04:12:38,1629440023618543616,The Rise of Artificial Intelligence: How   https://t.co/UjhW9GMq88 is Revolutionizing the Industry #ai #aitools #makemoneyonline #artificialintelligence #openai #chatgpt #businessowner  https://t.co/rp5YL1OYS5,en,"['ai', 'aitools', 'makemoneyonline', 'artificialintelligence', 'openai', 'chatgpt', 'businessowner']",[],The Rise of Artificial Intelligence: How   https://t.co/UjhW9GMq88 is Revolutionizing the Industry #ai #aitools #makemoneyonline #artificialintelligence #openai #chatgpt #businessowner  https://t.co/rp5YL1OYS5,"['The', 'Rise', 'of', 'Artificial', 'Intelligence', ':', 'How', 'https://t.co/UjhW9GMq88', 'is', 'Revolutionizing', 'the', 'Industry', '#ai', '#aitools', '#makemoneyonline', '#artificialintelligence', '#openai', '#chatgpt', '#businessowner', 'https://t.co/rp5YL1OYS5']"
1634648397247393795,1634648397247393792,2023-03-12 04:12:02 Malay Peninsula Standard Time,2023-03-12,04:12:02,1628424689566490626,"AI is rapidly advancing, moving beyond the automation of mundane tasks and capable of making decisions for us. -- #artificialintelligence #AI #chatgpt #gpt #openai #poem #technology #philosophy #morality #art #love #poetry",en,"['artificialintelligence', 'ai', 'chatgpt', 'gpt', 'openai', 'poem', 'technology', 'philosophy', 'morality', 'art', 'love', 'poetry']",[],"AI is rapidly advancing, moving beyond the automation of mundane tasks and capable of making decisions for us. -- #artificialintelligence #AI #chatgpt #gpt #openai #poem #technology #philosophy #morality #art #love #poetry","['AI', 'is', 'rapidly', 'advancing', ',', 'moving', 'beyond', 'the', 'automation', 'of', 'mundane', 'tasks', 'and', 'capable', 'of', 'making', 'decisions', 'for', 'us', '.', '-', '-', '#artificialintelligence', '#AI', '#chatgpt', '#gpt', '#openai', '#poem', '#technology', '#philosophy', '#morality', '#art', '#love', '#poetry']"
1634648128606306304,1634648128606306304,2023-03-12 04:10:58 Malay Peninsula Standard Time,2023-03-12,04:10:58,3240151847,Learn to control the AI before it controls you.  #chatgpt4 is a game changer and world is going to change next week.  #chatgpt #AI  https://t.co/1PzQ4fZmHr,en,"['chatgpt4', 'chatgpt', 'ai']",[],Learn to control the AI before it controls you.  #chatgpt4 is a game changer and world is going to change next week.  #chatgpt #AI  https://t.co/1PzQ4fZmHr,"['Learn', 'to', 'control', 'the', 'AI', 'before', 'it', 'controls', 'you', '.', '#chatgpt4', 'is', 'a', 'game', 'changer', 'and', 'world', 'is', 'going', 'to', 'change', 'next', 'week', '.', '#chatgpt', '#AI', 'https://t.co/1PzQ4fZmHr']"
1634647913358848002,1634647913358848000,2023-03-12 04:10:07 Malay Peninsula Standard Time,2023-03-12,04:10:07,183399308,"I wonder if every single #thread 🧵 that I see in my feed, was written by @OpenAI’s #chatgpt.",en,"['thread', 'chatgpt']",[],"I wonder if every single #thread 🧵 that I see in my feed, was written by @OpenAI’s #chatgpt.","['I', 'wonder', 'if', 'every', 'single', '#thread', '🧵', 'that', 'I', 'see', 'in', 'my', 'feed', ',', 'was', 'written', 'by', '’', 's', '#chatgpt', '.']"
1634647885663858689,1634647885663858688,2023-03-12 04:10:00 Malay Peninsula Standard Time,2023-03-12,04:10:00,1216078498110025728,a mini wiki or cheat sheet SDTools v1.5  https://t.co/4nIMWjueG5  #aiart #stablediffusion #midjourney #chatgpt  https://t.co/HM1QE9DbLl,in,"['aiart', 'stablediffusion', 'midjourney', 'chatgpt']",[],a mini wiki or cheat sheet SDTools v1.5  https://t.co/4nIMWjueG5  #aiart #stablediffusion #midjourney #chatgpt  https://t.co/HM1QE9DbLl,"['a', 'mini', 'wiki', 'or', 'cheat', 'sheet', 'SDTools', 'v1', '.', '5', 'https://t.co/4nIMWjueG5', '#aiart', '#stablediffusion', '#midjourney', '#chatgpt', 'https://t.co/HM1QE9DbLl']"
1634647669560815616,1634638224877404160,2023-03-12 04:09:09 Malay Peninsula Standard Time,2023-03-12,04:09:09,58439890,@Emmadw @TweetCAI But apparently the #ChatGPT written marketing copy for the session was better than that written by a professional copywriter…,en,['chatgpt'],"[{'screen_name': 'Emmadw', 'name': 'Emma Duke-Williams', 'id': '1168961'}, {'screen_name': 'TweetCAI', 'name': 'ICAI', 'id': '66236647'}]",@Emmadw @TweetCAI But apparently the #ChatGPT written marketing copy for the session was better than that written by a professional copywriter…,"['But', 'apparently', 'the', '#ChatGPT', 'written', 'marketing', 'copy', 'for', 'the', 'session', 'was', 'better', 'than', 'that', 'written', 'by', 'a', 'professional', 'copywriter', '…']"
1634647610915995648,1634647610915995648,2023-03-12 04:08:55 Malay Peninsula Standard Time,2023-03-12,04:08:55,1267287827764609024,🤖AI powered chatbot coming to Discord’s messaging   Sponsored by @KoolBargains   #discord #chatbot #ai #chatgpt #technews  https://t.co/6rDBq9ajup,en,"['discord', 'chatbot', 'ai', 'chatgpt', 'technews']",[],🤖AI powered chatbot coming to Discord’s messaging   Sponsored by @KoolBargains   #discord #chatbot #ai #chatgpt #technews  https://t.co/6rDBq9ajup,"['🤖', 'AI', 'powered', 'chatbot', 'coming', 'to', 'Discord', '’', 's', 'messaging', 'Sponsored', 'by', '#discord', '#chatbot', '#ai', '#chatgpt', '#technews', 'https://t.co/6rDBq9ajup']"
1634647472143491072,1634647472143491072,2023-03-12 04:08:22 Malay Peninsula Standard Time,2023-03-12,04:08:22,737360787266670592,ChatGPTに花粉症の症状を和らげる方法を聞いてみた。  #ChatGPT #ChatGPT千本ノック  https://t.co/VrzbFgtDz9,ja,"['chatgpt', 'chatgpt千本ノック']",[],We asked ChatGPT how to relieve hay fever symptoms.  #ChatGPT #ChatGPT千本ノック https://t.co/VrzbFgtDz9,"['We', 'asked', 'ChatGPT', 'how', 'to', 'relieve', 'hay', 'fever', 'symptoms', '.', '#ChatGPT', '#ChatGPT千本ノック', 'https://t.co/VrzbFgtDz9']"
